Student Number,Age,Average Hours Studying On Campus,Student Mark,Time Taken on Exam
8322,60,1,38,156
4855,25,5,84,0
8785,45,2,55,38
1566,26,3,17,54
7570,41,3,31,63
5011,36,1,1,28
9923,23,2,43,33
3668,56,5,130,22
8694,25,1,119,150
9084,36,2,81,164
4893,25,3,83,28
7043,34,1,33,123
1685,33,5,3,71
2057,29,2,88,67
2600,55,5,34,153
4226,29,1,43,142
6088,31,5,128,137
6761,39,5,66,28
6354,26,1,67,89
6362,49,1,35,138
2402,23,1,117,99
8812,40,4,30,12
3932,33,2,123,71
6373,25,2,85,118
6891,40,2,4,51
5328,36,4,66,156
3403,47,3,59,177
4962,22,4,79,56
9261,19,5,22,170
9249,18,2,58,149
6424,43,1,129,106
3573,33,3,50,103
8060,23,5,66,66
3726,46,5,78,157
7150,52,4,115,84
3517,57,1,28,180
2759,42,4,71,132
5787,51,1,9,8
4282,54,4,77,108
8109,54,4,39,165
2775,41,4,100,31
6434,23,4,59,141
8181,55,1,49,159
8660,19,4,34,20
4789,32,1,120,139
9247,41,4,54,101
6371,39,2,130,55
8456,45,3,106,11
5337,29,5,32,85
1338,50,5,74,117
1781,43,1,3,63
5003,24,1,100,170
8787,51,5,56,135
3536,29,1,57,35
1366,55,1,118,149
4669,60,2,67,130
7599,29,5,112,81
9865,48,4,49,145
2609,42,5,127,149
6885,23,4,58,74
3777,24,5,107,95
6345,33,2,80,138
6160,37,5,27,0
7836,19,4,41,28
6870,39,3,111,180
1766,26,1,95,157
4160,35,3,12,177
6740,60,3,102,85
3710,54,4,57,172
2222,57,2,10,127
4280,31,1,51,30
2776,57,3,119,121
1187,20,3,106,45
7649,56,1,10,146
5887,58,1,107,176
8009,51,2,54,2
1429,24,3,31,179
5993,24,1,13,15
4256,60,4,104,0
8648,36,2,32,72
2235,22,5,121,67
6003,49,4,7,91
8855,35,1,104,105
5090,18,2,33,172
5683,23,5,21,7
1513,58,3,1,153
3787,51,4,98,165
1555,42,5,22,121
8797,23,4,49,83
9885,41,3,71,23
6893,42,4,125,142
2012,37,1,83,52
9380,21,3,11,156
7147,58,3,45,88
8047,45,5,128,70
6922,39,1,5,79
6534,25,5,91,140
4864,44,1,106,165
9257,30,1,36,132
9774,22,2,39,105
2666,50,2,30,3
9737,19,3,80,139
7343,28,2,79,19
5731,26,2,29,32
9085,24,4,11,13
7046,43,2,103,160
3464,52,4,15,55
9935,40,2,118,12
2246,56,3,99,46
4358,28,3,53,82
6959,29,2,72,121
2261,50,2,8,107
1795,59,2,13,29
1707,31,1,79,138
3185,48,5,63,152
3475,19,3,114,114
6610,54,1,38,112
3728,38,1,47,146
5254,50,2,33,131
8994,34,1,122,101
8822,53,3,90,131
6839,18,5,40,117
4058,54,2,58,16
4453,43,1,113,174
2139,34,2,10,179
4267,42,1,38,37
6555,60,2,49,93
5405,48,5,23,153
4521,24,3,101,98
2325,46,5,58,22
5596,21,3,80,87
6900,56,2,54,147
4969,38,3,8,4
9695,50,5,124,32
6114,30,1,97,109
8754,44,1,104,45
1625,25,2,27,3
3610,20,5,121,119
8026,35,1,126,174
3945,24,2,19,60
7712,35,5,39,149
4667,40,5,98,22
7125,53,5,12,127
3321,57,1,53,128
8252,51,5,49,19
9909,29,4,42,136
1329,31,2,42,170
4861,43,1,110,126
9337,42,5,122,34
7985,49,4,3,61
